viewId,chartType,queryStr,resolvedQueryStr,md5,svgFilename,durationReceiveData,durationTotal,heapUsed,totalDataFileSize
5-year-survival-rate-of-cancers-among-female-patients-in-england,DiscreteBar,,,1ad92e243b8157f1b127eae5b6ce8570,5-year-survival-rate-of-cancers-among-female-patients-in-england_v15_850x600.svg,5,45,233079192,8346
above-ground-biomass-in-forest-per-hectare,WorldMap,,,f332b2ec7edc16e3a7b8d21715b4d6e5,above-ground-biomass-in-forest-per-hectare_v19_850x600.svg,7,96,267768000,52668
above-or-below-extreme-poverty-line-world-bank,StackedArea,,,8b95878b7522b3553b96b6d06205a861,above-or-below-extreme-poverty-line-world-bank_v41_850x600.svg,13,104,217097408,181731
abs-change-energy-consumption,WorldMap,,,bc950a84d17c148e663503ed1ec81fb2,abs-change-energy-consumption_v27_850x600.svg,10,165,212672096,450094
absolute-change-co2,WorldMap,,,4e7c6d654a2bf5c7fdbb0cbcaddcce4d,absolute-change-co2_v29_850x600.svg,10,171,246160856,838887
absolute-gains-in-mean-female-height,WorldMap,,,8854e9d9c0d0a2d23f030b0630314a37,absolute-gains-in-mean-female-height_v13_850x600.svg,9,118,265437040,6921
absolute-number-of-deaths-from-ambient-particulate-air-pollution,LineChart,,,3d83cb81ebade117375107c57e459f2f,absolute-number-of-deaths-from-ambient-particulate-air-pollution_v5_850x600.svg,2,25,260593776,29854
absolute-number-of-deaths-from-household-air-pollution,WorldMap,,,0ddd38750bf22a3700cf90df5cc8795e,absolute-number-of-deaths-from-household-air-pollution_v24_850x600.svg,4,109,242312016,259527
absolute-number-of-deaths-from-outdoor-air-pollution,WorldMap,,,91c0d7ebe12c66662d6d3a1b727c236e,absolute-number-of-deaths-from-outdoor-air-pollution_v21_850x600.svg,3,93,277809560,259076
academic-freedom-index,WorldMap,,,eeda0cf1fe31c537705939fe8a8b4d6e,academic-freedom-index_v15_850x600.svg,27,89,286776264,578060
acceptability-of-uk-farming-practices,StackedDiscreteBar,,,bf3db2c4da311f93e90337ab2ec84bb4,acceptability-of-uk-farming-practices_v14_850x600.svg,2,22,230937520,998
access-drinking-water-stacked,StackedDiscreteBar,,,03527fb490cb606f30c79361faf522d0,access-drinking-water-stacked_v19_850x600.svg,46,99,259094864,859851
access-to-basic-services,LineChart,,,e59e404a4ef46600c3fe85716fc2b6e2,access-to-basic-services_v21_850x600.svg,30,59,232444448,692861
access-to-clean-fuels-and-technologies-for-cooking,WorldMap,,,889b01e2807e56f326f40e1583dada26,access-to-clean-fuels-and-technologies-for-cooking_v26_850x600.svg,4,35,303271480,144171
access-to-clean-fuels-and-technologies-for-cooking-vs-per-capita-energy-consumption,ScatterPlot,,,3aa108d899d72b81e16d247d2fb16b46,access-to-clean-fuels-and-technologies-for-cooking-vs-per-capita-energy-consumption_v39_850x600.svg,129,353,358616536,2357659
access-to-clean-fuels-for-cooking-vs-gdp-per-capita,ScatterPlot,,,99b61d806d92e57a7a1abb61bc50466f,access-to-clean-fuels-for-cooking-vs-gdp-per-capita_v37_850x600.svg,148,494,337266240,2227116
access-to-electricity-urban-vs-rural,ScatterPlot,,,87a69c9ea95effc1a0a3abceec0caae5,access-to-electricity-urban-vs-rural_v28_850x600.svg,24,157,325086544,393514
access-to-electricity-vs-gdp-per-capita,ScatterPlot,,,27319c130cd6338e89f2304b307ef169,access-to-electricity-vs-gdp-per-capita_v45_850x600.svg,24,146,326010104,448654
access-to-justice-men-row,WorldMap,,,7eba67e53a9a0418cd002613bec6bdce,access-to-justice-men-row_v65_850x600.svg,8,74,299724864,1660502
access-to-justice-women-row,WorldMap,,,349889036e91d2e43839ad2fd488c579,access-to-justice-women-row_v70_850x600.svg,11,75,244439072,1659826
access-to-sexual-health-care-and-education,WorldMap,,,eb0e28791e6124dc1ab0d5b6a5331b18,access-to-sexual-health-care-and-education_v22_850x600.svg,5,34,254516880,3496
accessibility-of-statins-in-the-public-health-sector,WorldMap,,,6d180ed514cf91512c80c47cbb2e2ba9,accessibility-of-statins-in-the-public-health-sector_v12_850x600.svg,2,47,261149872,26526
account-at-financial-institution,WorldMap,,,59f1f1291fc9cb97d68fff5e23e5aad2,account-at-financial-institution_v27_850x600.svg,2,31,247292560,24984
ace-north-atlantic-hurricanes,StackedBar,,,d73293611673b96173a3a229e962df61,ace-north-atlantic-hurricanes_v8_850x600.svg,2,79,348067528,5100
