country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,0.6402427,,,,,,,
Albania,2002,,0.6664082,,,,,,
Albania,2005,,0.84353894,,,,,,
Albania,2008,,0.7389711,,,,,,
Albania,2012,,0.9146691,,,,,,
Albania,2014,,,1.0045131,,,,,
Albania,2015,,,1.1482621,,,,,
Albania,2016,,,1.2323886,,,,,
Albania,2017,,,1.1637698,,,,,
Albania,2018,,,,1.4717916,,,,
Albania,2019,,,,1.1889151,,,,
Albania,2020,,,,1.4139524,,,,
Algeria,1988,0.6731473,,,,,,,
Algeria,1995,,0.7175897,,,,,,
Algeria,2011,,,0.5416181,,,,,
Angola,2000,1.1487929,,,,,,,
Angola,2008,,0.7829472,,,,,,
Angola,2018,,,0.6841608,,,,,
Armenia,1999,,0.5120716,,,,,,
Armenia,2001,,0.42008105,,,,,,
Armenia,2002,,0.47621375,,,,,,
Armenia,2003,,0.37325022,,,,,,
Armenia,2004,,0.629751,,,,,,
Armenia,2005,,0.6632726,,,,,,
Armenia,2006,,0.64576477,,,,,,
Armenia,2007,,0.7271686,,,,,,
Armenia,2008,,0.6931849,,,,,,
Armenia,2009,,0.5818668,,,,,,
Armenia,2010,,0.5166208,,,,,,
Armenia,2011,,0.6381091,,,,,,
Armenia,2012,,0.5869842,,,,,,
Armenia,2013,,0.7696709,,,,,,
Armenia,2014,,0.77033854,,,,,,
Armenia,2015,,0.8628482,,,,,,
Armenia,2016,,0.89821047,,,,,,
Armenia,2017,,0.7795129,,,,,,
Armenia,2018,,0.8742235,,,,,,
Armenia,2019,,,0.69250655,,,,,
Armenia,2020,,,0.6248682,,,,,
Armenia,2021,,,0.6678025,,,,,
Armenia,2022,,,0.6564494,,,,,
Armenia,2023,,,0.6605156,,,,,
Azerbaijan,1995,0.69630164,,,,,,,
Azerbaijan,2001,,0.5779722,,,,,,
Azerbaijan,2002,,0.48909205,,,,,,
Azerbaijan,2003,,0.55790883,,,,,,
Azerbaijan,2004,,0.39822325,,,,,,
Azerbaijan,2005,,0.4152182,,,,,,
Bangladesh,1983,0.21195054,,,,,,,
Bangladesh,1985,0.09008157,,,,,,,
Bangladesh,1988,0.1238031,,,,,,,
Bangladesh,1991,,0.22918211,,,,,,
Bangladesh,1995,,0.265237,,,,,,
Bangladesh,2000,,,0.25376496,,,,,
Bangladesh,2005,,,0.25743932,,,,,
Bangladesh,2010,,,0.27454036,,,,,
Bangladesh,2016,,,0.36278972,,,,,
Bangladesh,2022,,,,0.51047176,,,,
Barbados,2016,2.4441712,,,,,,,
Belarus,1998,,0.42370373,,,,,,
Belarus,1999,,0.48974985,,,,,,
Belarus,2000,,0.53733957,,,,,,
Belarus,2001,,0.62793785,,,,,,
Belarus,2002,,0.66746783,,,,,,
Belarus,2003,,0.7054112,,,,,,
Belarus,2004,,0.69488466,,,,,,
Belarus,2005,,0.89749074,,,,,,
Belarus,2006,,0.9644613,,,,,,
Belarus,2007,,1.2200172,,,,,,
Belarus,2008,,1.1671535,,,,,,
Belarus,2009,,1.2686096,,,,,,
Belarus,2010,,1.2664908,,,,,,
Belarus,2011,,1.3162674,,,,,,
Belarus,2012,,1.423844,,,,,,
Belarus,2013,,1.5986265,,,,,,
Belarus,2014,,1.6461527,,,,,,
Belarus,2015,,1.5347364,,,,,,
Belarus,2016,,1.3843614,,,,,,
Belarus,2017,,1.4345084,,,,,,
Belarus,2018,,1.293082,,,,,,
Belarus,2019,,1.6763233,,,,,,
Belarus,2020,,1.6295974,,,,,,
Belize,1995,,1.9412092,,,,,,
Belize,2018,,,,2.162922,,,,
Benin,2003,0.23413873,,,,,,,
Benin,2011,,0.23101352,,,,,,
Benin,2015,,0.5831168,,,,,,
Benin,2018,,,0.38171637,,,,,
Benin,2021,,,0.44355565,,,,,
Bhutan,2003,0.40557116,,,,,,,
Bhutan,2007,,0.69601107,,,,,,
Bhutan,2012,,0.9239268,,,,,,
Bhutan,2017,,1.048791,,,,,,
Bhutan,2022,,,1.5995878,,,,,
Bosnia and Herzegovina,2001,1.3214852,,,,,,,
Bosnia and Herzegovina,2004,2.1081367,,,,,,,
Bosnia and Herzegovina,2007,,2.2594526,,,,,,
Bosnia and Herzegovina,2011,,2.3985665,,,,,,
Botswana,1985,0.47817656,,,,,,,
Botswana,1993,0.5924983,,,,,,,
Botswana,2002,,0.73254627,,,,,,
Botswana,2009,,1.0299261,,,,,,
Botswana,2015,,0.8725005,,,,,,
Bulgaria,1989,1.1223346,,,,,,,
Bulgaria,1994,0.84681684,,,,,,,
Bulgaria,1995,,,,1.6683068,,,,
Bulgaria,1997,,,0.18153441,,,,,
Bulgaria,2001,,,,1.5980994,,,,
Bulgaria,2003,,,,,1.1535662,,,
Bulgaria,2007,,,,,1.9051607,,,
Burkina Faso,1994,0.11155747,,,,,,,
Burkina Faso,1998,,0.15829618,,,,,,
Burkina Faso,2003,,0.25874573,,,,,,
Burkina Faso,2009,,,0.23647045,,,,,
Burkina Faso,2014,,,,0.17720304,,,,
Burkina Faso,2018,,,,,0.3100313,,,
Burkina Faso,2021,,,,,0.32017347,,,
Burundi,1992,0.123615585,,,,,,,
Burundi,1998,,0.24394158,,,,,,
Burundi,2006,,0.07221407,,,,,,
Burundi,2013,,0.21871227,,,,,,
Burundi,2020,,,0.2194905,,,,,
Cameroon,1996,0.27576467,,,,,,,
Cameroon,2001,,0.49500898,,,,,,
Cameroon,2007,,0.41701967,,,,,,
Cameroon,2014,,0.7631461,,,,,,
Cameroon,2021,,,0.68330574,,,,,
Cape Verde,2001,0.5715026,,,,,,,
Cape Verde,2007,,0.6664387,,,,,,
Cape Verde,2015,,,0.8316252,,,,,
Central African Republic,1992,0.11763412,,,,,,,
Central African Republic,2008,,0.36618796,,,,,,
Central African Republic,2021,,,0.27261338,,,,,
Chad,2003,0.28155506,,,,,,,
Chad,2011,0.5701929,,,,,,,
Chad,2018,,0.35877147,,,,,,
Chad,2022,,0.41531822,,,,,,
China,1990,,0.1393951,,,,,,
China,1993,,0.16795541,,,,,,
China,1996,,0.2244366,,,,,,
China,1999,,0.2683108,,,,,,
China,2002,,0.38463202,,,,,,
China,2005,,0.50979394,,,,,,
China,2008,,0.7182481,,,,,,
China,2010,,0.85457575,,,,,,
China,2011,,0.9179987,,,,,,
China,2012,,1.0305089,,,,,,
China,2013,,,0.93214333,,,,,
China,2014,,,1.0432278,,,,,
China,2015,,,1.0675372,,,,,
China,2016,,,1.1256007,,,,,
China,2017,,,1.1841644,,,,,
China,2018,,,1.2473825,,,,,
China,2019,,,1.179616,,,,,
China,2020,,,0.92590153,,,,,
China,2021,,,1.1250346,,,,,
China,2022,,,1.1673985,,,,,
China (rural),1990,,0.089906216,,,,,,
China (rural),1993,,0.10608772,,,,,,
China (rural),1996,,0.12389841,,,,,,
